Accuracy,BalancedAccuracy,Recall,CohenKappa,Precision,GeometricMean,F1,Demographic_Parity,Disparate_Impact,Equal_Opportunity,Equalized_FPR,IndividualFairness,time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,0.0,2026-03-07 13:42:28.158444
0.0,0.0,0.0,-1.0,0.0,0.0,0.0,inf,inf,inf,inf,0.5,2026-03-07 13:42:28.160453
0.3333333333333333,0.25,0.0,-0.5000000000000001,0.0,0.0,0.0,inf,inf,inf,inf,0.3333333333333333,2026-03-07 13:42:28.162765
0.5,0.3333333333333333,0.0,-0.3333333333333333,0.0,0.0,0.0,inf,inf,inf,inf,0.25,2026-03-07 13:42:28.164212
0.6,0.375,0.0,-0.2500000000000007,0.0,0.0,0.0,inf,inf,inf,inf,0.2,2026-03-07 13:42:28.167395
0.6666666666666666,0.4,0.0,-0.20000000000000057,0.0,0.0,0.0,inf,inf,inf,inf,0.16666666666666666,2026-03-07 13:42:28.170235
0.7142857142857143,0.4166666666666667,0.0,-0.16666666666666635,0.0,0.0,0.0,inf,inf,inf,inf,0.14285714285714285,2026-03-07 13:42:28.170235
0.75,0.42857142857142855,0.0,-0.14285714285714285,0.0,0.0,0.0,inf,inf,inf,inf,0.125,2026-03-07 13:42:28.175243
0.7777777777777778,0.4375,0.0,-0.125,0.0,0.0,0.0,inf,inf,inf,inf,0.1111111111111111,2026-03-07 13:42:28.178833
0.8,0.4444444444444444,0.0,-0.11111111111111124,0.0,0.0,0.0,inf,inf,inf,inf,0.1,2026-03-07 13:42:28.180577
0.8181818181818182,0.45,0.0,-0.09999999999999892,0.0,0.0,0.0,inf,inf,inf,inf,0.09090909090909091,2026-03-07 13:42:28.182614
0.8333333333333334,0.45454545454545453,0.0,-0.09090909090908979,0.0,0.0,0.0,inf,inf,inf,inf,0.08333333333333333,2026-03-07 13:42:28.187267
0.7692307692307693,0.45454545454545453,0.0,-0.11428571428571377,0.0,0.0,0.0,inf,inf,inf,inf,0.07692307692307693,2026-03-07 13:42:28.188328
0.7142857142857143,0.45454545454545453,0.0,-0.11999999999999966,0.0,0.0,0.0,inf,inf,inf,inf,0.07142857142857142,2026-03-07 13:42:28.190071
0.7333333333333333,0.4583333333333333,0.0,-0.11111111111111137,0.0,0.0,0.0,inf,inf,inf,inf,0.06666666666666667,2026-03-07 13:42:28.192946
0.6875,0.4583333333333333,0.0,-0.1111111111111111,0.0,0.0,0.0,inf,inf,inf,inf,0.0625,2026-03-07 13:42:28.195767
0.7058823529411765,0.46153846153846156,0.0,-0.10389610389610338,0.0,0.0,0.0,inf,inf,inf,inf,0.058823529411764705,2026-03-07 13:42:28.198119
0.7222222222222222,0.4642857142857143,0.0,-0.09756097560975609,0.0,0.0,0.0,inf,inf,inf,inf,0.05555555555555555,2026-03-07 13:42:28.204304
0.7368421052631579,0.4666666666666667,0.0,-0.09195402298850577,0.0,0.0,0.0,inf,inf,inf,inf,0.05263157894736842,2026-03-07 13:42:28.207508
0.75,0.46875,0.0,-0.08695652173913052,0.0,0.0,0.0,inf,inf,inf,inf,0.05,2026-03-07 13:42:28.211024
0.7619047619047619,0.47058823529411764,0.0,-0.08247422680412415,0.0,0.0,0.0,inf,inf,inf,inf,0.047619047619047616,2026-03-07 13:42:28.213029
0.7272727272727273,0.47058823529411764,0.0,-0.08196721311475429,0.0,0.0,0.0,inf,inf,inf,inf,0.045454545454545456,2026-03-07 13:42:28.217077
0.7391304347826086,0.4722222222222222,0.0,-0.07812500000000029,0.0,0.0,0.0,inf,inf,inf,inf,0.043478260869565216,2026-03-07 13:42:28.219084
0.7083333333333334,0.4722222222222222,0.0,-0.07692307692307664,0.0,0.0,0.0,inf,inf,inf,inf,0.041666666666666664,2026-03-07 13:42:28.221089
0.72,0.47368421052631576,0.0,-0.07361963190184091,0.0,0.0,0.0,inf,inf,inf,inf,0.04,2026-03-07 13:42:28.225390
0.7307692307692307,0.475,0.0,-0.07058823529411849,0.0,0.0,0.0,inf,inf,inf,inf,0.038461538461538464,2026-03-07 13:42:28.225390
0.7037037037037037,0.475,0.0,-0.06930693069306912,0.0,0.0,0.0,inf,inf,inf,inf,0.037037037037037035,2026-03-07 13:42:28.233617
0.6785714285714286,0.475,0.0,-0.06779661016949161,0.0,0.0,0.0,inf,inf,inf,inf,0.03571428571428571,2026-03-07 13:42:28.235242
0.6896551724137931,0.47619047619047616,0.0,-0.06530612244897954,0.0,0.0,0.0,inf,inf,inf,inf,0.034482758620689655,2026-03-07 13:42:28.235242
0.6666666666666666,0.47619047619047616,0.0,-0.0638297872340426,0.0,0.0,0.0,inf,inf,inf,inf,0.03333333333333333,2026-03-07 13:42:28.245147
0.6774193548387096,0.4772727272727273,0.0,-0.0616438356164385,0.0,0.0,0.0,inf,inf,inf,inf,0.03225806451612903,2026-03-07 13:42:28.245147
0.6875,0.4782608695652174,0.0,-0.059602649006622516,0.0,0.0,0.0,inf,inf,inf,inf,0.03125,2026-03-07 13:42:28.253637
0.6666666666666666,0.4782608695652174,0.0,-0.058309037900875126,0.0,0.0,0.0,inf,inf,inf,inf,0.030303030303030304,2026-03-07 13:42:28.253637
0.6470588235294118,0.4782608695652174,0.0,-0.05699481865284962,0.0,0.0,0.0,inf,inf,inf,inf,0.029411764705882353,2026-03-07 13:42:28.262365
0.6571428571428571,0.4791666666666667,0.0,-0.055276381909547714,0.0,0.0,0.0,inf,inf,inf,inf,0.02857142857142857,2026-03-07 13:42:28.267732
0.6666666666666666,0.48,0.0,-0.05365853658536573,0.0,0.0,0.0,inf,inf,inf,inf,0.027777777777777776,2026-03-07 13:42:28.270471
0.6756756756756757,0.4807692307692308,0.0,-0.052132701421801306,0.0,0.0,0.0,inf,inf,inf,inf,0.02702702702702703,2026-03-07 13:42:28.276947
0.6842105263157895,0.48148148148148145,0.0,-0.05069124423963122,0.0,0.0,0.0,inf,inf,inf,inf,0.02631578947368421,2026-03-07 13:42:28.281968
0.6923076923076923,0.48214285714285715,0.0,-0.04932735426008968,0.0,0.0,0.0,inf,inf,inf,inf,0.02564102564102564,2026-03-07 13:42:28.285256
